,author,title,source,date,target
1996,By Isabella Fertel ,"“Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",Facebook posts," June 25, 2021",pants-fire
1997,By Gabrielle Settles ,"“Our legal president, President Trump, has signed a cease and desist order for the COVID vaccines.”",TikTok posts," June 24, 2021",pants-fire
1998,By Louis Jacobson ,"Says Dr. Anthony Fauci in an email ""advises a family member to use (hydroxychloroquine) and antibiotic therapy, the same evening in which in a press conference he attacked (President Donald Trump) on the usefulness of (hydroxychloroquine) to fight the virus.”",Facebook posts," June 24, 2021",false
1999,By Ciara O'Rourke ,Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”,Viral image," June 24, 2021",pants-fire
2000,By Victoria Knight ,“The WORLD HEALTH ORGANIZATION recently reversed its stance on children getting the Covid vaccine.”,Facebook posts," June 24, 2021",false
2001,By Amy Sherman ,Georgia didn’t update its voter rolls prior to the 2020 presidential election; “this means we (you!) won the presidential election in Georgia.”,Donald Trump," June 23, 2021",pants-fire
2002,By Ciara O'Rourke ,“Military arrests Adam Schiff.”,Bloggers," June 23, 2021",pants-fire
2003,By Ciara O'Rourke ,“Hawaii to no longer recognize out-of-state driver’s licenses.”,Viral image," June 23, 2021",false
2004,By Louis Jacobson ,A 9-0 Supreme Court ruling is very rare.,Trey Wingo," June 23, 2021",false
2005,By Samantha Putterman ,“World Health Organization wants to BAN all women aged 18-50 from drinking alcohol.”,Bloggers," June 22, 2021",false
2006,By Jon Greenberg ,"Says Greta Thunberg said, ""the climate crisis doesn’t exist.""",Instagram posts," June 22, 2021",pants-fire
2007,By Andy Nguyen ,“The unvaccinated have escaped every single strain or 'variant’” of SARS-CoV-2.,Facebook posts," June 22, 2021",false
2008,By Sasha Hupka ,"Gov. Gavin Newsom has “no power or authority” to extend the state of emergency in California because it expired “automatically” on May 6, 2020.",Facebook posts," June 22, 2021",false
2009,By Aaron Sharockman ,"Says President John F. Kennedy said, “There are people in Washington, D.C., in positions of power to whom the border is just a nuisance, and I think some of them believe that illegal immigration is a moral good. It is not.”",Facebook posts," June 22, 2021",false
2010,By Michael Majchrowicz ,A heat wave melted turbine blades at a Texas wind farm.,Facebook posts," June 21, 2021",false
2011,By Ciara O'Rourke ,Photo shows a semi-truck that crashed with a Chevy pickup that cut in front of it.,Viral image," June 21, 2021",barely-true
2012,By Ciara O'Rourke ,AstraZeneca means “weapon that kills.”,Viral image," June 21, 2021",false
2013,By Brandon Mulder ,“We see an uncompleted wall that was duly appropriated dollars during the Trump days to build over 700 miles. Only 150 miles were constructed.”,George P. Bush," June 21, 2021",false
2014,By Tom Kertscher ,It was “the left” that “finally” made Juneteenth a national holiday.,Diamond and Silk," June 21, 2021",half-true
2015,By Madison Czopek ,“Coolmath Games is being taken down cause it was run by the Mexican drug cartel?”,Facebook posts," June 21, 2021",false
2016,By Miriam Valverde ,“That meth … it’s almost all coming across the southern border and it’s been accelerating for the last six months.”,Ron DeSantis," June 21, 2021",half-true
2017,By Madeline Heim ,"“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",Mandela Barnes," June 19, 2021",true
2018,By Laura Schulte ,“We have a record 9.3 million job openings in the U.S.”,Glenn Grothman," June 18, 2021",true
2019,By Emily Tian ,"“Police budgets are at their highest they've ever been, there hasn’t actually been any defunding the police.”",Tweets," June 18, 2021",barely-true
2020,By Tom Kertscher ,The 2020 election results in Pennsylvania “show a statistically impossible pattern” and votes were manufactured for Joe Biden.,Bloggers," June 18, 2021",false
2021,By Ciara O'Rourke ,"“Austin mass shooter still at large, but media won’t provide description because he’s Black.”",Viral image," June 18, 2021",false
2022,By D.L. Davis ,"“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",Mark Born," June 18, 2021",true
2023,By Paul Specht ,Says North Carolina’s proposed abortion bill would not “govern the conversation between the doctor and patient.”,Dean Arp," June 17, 2021",barely-true
2024,By Tom Kertscher ,Says Joe Biden “imports oil from Iran.”,The Gateway Pundit," June 17, 2021",barely-true
2025,By Madison Czopek ,“Cuomo opens New York 72 hours before his daughter's wedding.”,Facebook posts," June 17, 2021",false
2026,By Tom Kertscher ,Says the Novavax COVID-19 vaccine “dumps millions” of dangerous “spike proteins right into your body.”,Facebook posts," June 17, 2021",false
2027,By Gabrielle Settles ,"""Dandelion root is able to kill 98% of cancer cells within 48 hours.""",Instagram posts," June 17, 2021",barely-true
2028,By Tom Kertscher ,Says Joe Biden confused his son and his grandson.,TikTok posts," June 17, 2021",false
2029,By Ciara O'Rourke ,The FBI building in Washington is “completely closed. No one’s in there.”,Viral image," June 17, 2021",false
2030,By Warren Fiske ,"“Over the last few years, more Virginians are moving away from Virginia than are moving to Virginia from the other 49 states.”",Glenn Youngkin," June 17, 2021",mostly-true
2031,By Tom Kertscher ,"The COVID-19 vaccines’ “spike protein is very dangerous, it's cytotoxic.”",YouTube videos," June 16, 2021",false
2032,By Samantha Putterman ,Says Anthony Fauci will make millions off new book.,Charlie Kirk," June 15, 2021",false
2033,By Andy Nguyen ,"Emails show that Fauci knew ""hydroxychloroquine worked [and] emailed friends about it being effective.""",Facebook posts," June 15, 2021",false
2034,By Tom Kertscher ,Says a 2010 Rockefeller Foundation report shows the COVID-19 pandemic and the international response were “meticulously planned at least 10 years ago.”,Facebook posts," June 15, 2021",false
2035,By Laura Schulte ,"During the pandemic, “I’ve been in D.C. voting regularly.”",Mark Pocan," June 15, 2021",half-true
2036,By Amy Sherman ,"Gov. Ron DeSantis “signed a $1 billion tax increase on the people of our state, on our consumers, yet gave a $500 million tax break to our corporations.""",Nikki Fried," June 15, 2021",barely-true
2037,By Warren Fiske ,“I inherited the largest budget deficit in the history of the state from the Republicans.”,Terry McAuliffe," June 15, 2021",pants-fire
2038,By Tom Kertscher ,"""Study: hydroxychloroquine can boost COVID-19 survival chances by nearly 200%.""",Facebook posts," June 14, 2021",barely-true
2039,By Samantha Putterman ,Says professional soccer player Christian Eriksen received the Pfizer vaccine days before he collapsed during a game.,Instagram posts," June 14, 2021",false
2040,By Kiannah Sepeda-Miller ,"Illinois Republican lawmakers “have argued that they want an independent [redistricting] commission, but they didn't do anything about it.”",JB Pritzker," June 11, 2021",barely-true
2041,By Brandon Mulder ,"Says Austin should be putting more police on the streets. “Why are we going the other way? (Austin leaders are saying) ‘Oh, let’s reimagine police by getting rid of them.' What do you have? You have a doubling of murder in Austin, Texas.”",Chip Roy," June 11, 2021",half-true
2042,By Natalie Dunlap ,"""These 2 Ankeny moms standing next to the Governor are known Qanon and anti-vaxx conspiracy theorists.""",Kedron Bardwell," June 11, 2021",mostly-true
2043,By Tom Kertscher ,"""Report: Vaccine related deaths may rival recorded COVID-19 deaths.""",Instagram posts," June 11, 2021",false
2044,By Ciara O'Rourke ,Says Baptist pastor Charles Stanley is selling CBD.,Bloggers," June 10, 2021",false
2045,By Ciara O'Rourke ,Coca-Cola made cans that say “Try to be less white.”,Viral image," June 10, 2021",false
2046,By Ciara O'Rourke ,“Jamaica becomes the first country to make K-pop illegal.”,Viral image," June 10, 2021",false
2047,By Paul Specht ,"Says North Carolina moved “from among the worst business rankings in the country, to the top 10.”",Paul Newton," June 9, 2021",half-true
2048,By Bill McCarthy ,"The COVID-19 vaccines make people ""magnetized. They can put a key on their forehead, it sticks. They can put spoons and forks all over them, and they can stick.""",Sherri Tenpenny," June 9, 2021",false
2049,By Jon Greenberg ,The Biden administration “ignores the negative environmental impact created by lithium mining.”,Chuck Grassley," June 9, 2021",false
2050,By Ciara O'Rourke ,"Says Marjorie Taylor Greene said, “People are dying who have never died before.”",Facebook posts," June 9, 2021",false
2051,By Nusaiba Mizan ,“Right to Work states have: faster private sector employment growth”,Wisconsin Manufacturers and Commerce," June 9, 2021",half-true
2052,By Michael Majchrowicz ,Video shows Israel’s Iron Dome missile defense system engaged in military combat.,Facebook posts," June 9, 2021",false
2053,By Amy Sherman ,“Republican state senators” who started an audit of 2020 election results in Maricopa County are “exposing this fraud.”,Donald Trump," June 9, 2021",false
2054,By Ciara O'Rourke ,Video shows man trying to “fill entire pickup bed with fuel amidst last month’s fuel shortage.”,Bloggers," June 9, 2021",false
2055,By Ciara O'Rourke ,"Says Anthony Bourdain tweeted, “This might be the best bat soup I ever had in my life. Someday everyone’s gonna be talking about Wuhan.”",Viral image," June 9, 2021",false
2056,By Miriam Valverde ,"""920 women lose their unborn babies after getting vaccinated.""",Instagram posts," June 8, 2021",false
2057,By Andy Nguyen ,Says Listerine mouthwash can be effectively used as a mosquito repellant.,Facebook posts," June 8, 2021",barely-true
2058,By Ciara O'Rourke ,"“Tim Tebow says he is wearing #85 to honor his former friend/teammate and fellow TE Aaron Hernandez, who passed away in 2017.”",Viral image," June 8, 2021",false
2059,By Ciara O'Rourke ,“Biden gets brutal impeachment.”,Facebook posts," June 8, 2021",pants-fire
2060,By Laura Schulte ,Says withdrawing troops from Afghanistan could save the U.S. $50 billion.,Mark Pocan," June 8, 2021",barely-true
2061,By Madison Czopek ,"""Airlines are meeting today to discuss the risks of carrying vaxed passengers due to the risk of clots and the liabilities involved.”",Instagram posts," June 7, 2021",false
2062,By John Pullano ,It’s not currently “legal for a New York state student to have a glass of fresh whole milk.”,Lorraine Lewandrowski," June 7, 2021",true
2063,By Ciara O'Rourke ,Photo shows “the plane that brings our dead military home. It is made so that when they shoot their salute for their service it looks like an angel carrying them home.”,Viral image," June 7, 2021",false
2064,By Ciara O'Rourke ,Says Bruno Mars is Michael Jackson’s son.,Facebook posts," June 7, 2021",false
2065,By Chris Nichols ,"""Sadly during the course of the pandemic one-third of our small businesses have closed.""",Kamala Harris," June 7, 2021",mostly-true
2066,By Ciara O'Rourke ,“The Eisenhower interstate system requires that one mile in every five must be straight.”,Viral image," June 7, 2021",false
2067,By Ciara O'Rourke ,“Donald Trump gave his big speech today with his pants on backward.”,Viral image," June 7, 2021",false
2068,By Landon Allison ,The use and possession of marijuana on U.S. college campuses “remains prohibited under federal law”,Clarence McNeill," June 7, 2021",mostly-true
2069,By Tom Kertscher ,Viral immunologist says COVID-19 vaccines’ “spike protein” means people are being inoculated “with a toxin.”,Facebook posts," June 7, 2021",false
2070,By Tom Kertscher ,Says Donald Trump signed the Insurrection Act and “still is president.”,Facebook posts," June 4, 2021",pants-fire
2071,By Ciara O'Rourke ,"Says James Mattis said, “If you burn the American flag you’ll spend two years in the military. I promise you, you’ll be cured of the desire to burn a flag ever again.”",Viral image," June 4, 2021",false
2072,By Madison Czopek ,“There is a place in the U.S. where murder is legal.”,TikTok posts," June 4, 2021",false
2073,By Ciara O'Rourke ,Video shows the Jan. 6 Capitol riot was a “completely peaceful protest.”,Bloggers," June 4, 2021",pants-fire
2074,By Brandon Mulder ,"""Texans have some of the highest property taxes in the nation”",Don Huffines," June 4, 2021",mostly-true
2075,By Jon Greenberg ,Says Florida Agriculture Commissioner Nikki Fried “spent millions of dollars to put her face on every gas pump across this state.”,Ron DeSantis," June 4, 2021",barely-true
2076,By Ciara O'Rourke ,“Fauci’s emails leaked.”,Facebook posts," June 4, 2021",false
2077,By Ciara O'Rourke ,Photo shows R. Kelly being released from prison in 2021.,Viral image," June 4, 2021",false
2078,By Ciara O'Rourke ,“In 38 days Pelosi and Schiff are up for reelection. Nadler up June 23.”,Viral image," June 4, 2021",false
2079,By Ciara O'Rourke ,Photo shows Tom Hanks after “wife Rita exposed his condition after he was spotted in a bad state. Tom will spend the remainder of his life in and out of hospitals.”,Viral image," June 4, 2021",false
2080,By D.L. Davis ,Says U.S. Rep. Ron Kind has “spent more $ in 100+ days than was spent fighting WWII,Derrick Van Orden," June 4, 2021",false
2081,By Andy Nguyen ,Says the Pentagon killed a man who invented a water-powered fuel cell for cars.,Facebook posts," June 3, 2021",false
2082,By Warren Fiske ,Terry McAuliffe favors “taking the Pledge of Allegiance and the 4th of July out of the (school) curriculum.”,Glenn Youngkin," June 3, 2021",false
2083,By Samantha Putterman ,The New York Times published an old stock photo of a young girl and claimed Israeli forces killed her during its recent war with Hamas.,Facebook posts," June 3, 2021",mostly-true
2084,By Michael Majchrowicz ,"""The CDC lowered the PCR threshold while no longer recording asymptomatic cases...but only for the vaccinated.""",Tweets," June 3, 2021",false
2085,By Jon Greenberg ,"Emails show ""Fauci's fellow scientist could tell early on that the (coronavirus) looked manufactured.""",Facebook posts," June 2, 2021",false
2086,By Louis Jacobson ,"""Two members of the Senate,"" Joe Manchin and Kyrsten Sinema, ""voted more with my Republican friends"" than with the president from their own party.",Joe Biden," June 2, 2021",barely-true
2087,By Tom Kertscher ,"An email from Dr. Anthony Fauci shows ""everyone was lied to"" about wearing masks to prevent the spread of COVID-19.",Instagram posts," June 2, 2021",false
2088,By Louis Jacobson ,"“The filibuster, if it does not get reformed, still means that maybe 30% of the population potentially controls the majority of Senate seats.”",Barack Obama," June 2, 2021",half-true
2089,By Ciara O'Rourke ,“U.S. military arrests Dr. Deborah Birx.”,Viral image," June 2, 2021",false
2090,By Madeline Heim ,"“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”",Mandela Barnes," June 2, 2021",true
2091,By Monique Curet ,“So the unvaxxed have to wear mask (sic) to protect the vaxxinated.”,Facebook posts," June 2, 2021",false
2092,By Samantha Putterman ,“Not one word” from Joe Biden and Kamala Harris honoring service members for Memorial Day.,Facebook posts," June 1, 2021",false
2093,By Tom Kertscher ,"""Absent from the news — Dominion lost their lawsuits against Rudy Giuliani and Sidney Powell.""",Facebook posts," June 1, 2021",false
2094,By Emily Tian ,"""You will be 'vaccinated' regardless of whether you receive the shot or not.”",Viral image," June 1, 2021",false
2095,By Jon Greenberg ,"Says ATF chief nominee David Chipman was part of the 1993 assault on the Branch Davidian compound in Waco, Texas.",Viral image," June 1, 2021",false
2096,By Jill Terreri Ramos ,"""The one good thing about the antibodies if you’ve had it, is it actually is even better than the vaccine, and here's why. With the vaccine you can still transmit, with the antibodies you can't transmit.”",Andrew Giuliani," May 31, 2021",false
2097,By Paul Specht ,"Says North Carolina bill ""would allow politically active 501(c)(4) organizations to hide major donors while using their money to support or oppose candidates and political issues.”",Natasha Marcus," May 31, 2021",barely-true
2098,By Samantha Putterman ,COVID-19 vaccines are creating the coronavirus variants.,Facebook posts," May 28, 2021",false
2099,By Bill McCarthy ,"""The Lancet peer-reviewed study confirms vaccine efficacy, not as 95% stated by the vaccine companies, but as: AstraZeneca 1.3%; Moderna 1.2%; J&J 1.2%; Pfizer 0.84%.""",Instagram posts," May 28, 2021",barely-true
2100,By Gabrielle Settles ,Says a photo shows Michelle Obama as a man prior to marrying Barack Obama.,Instagram posts," May 28, 2021",pants-fire
2101,By Tom Kertscher ,“The Biden administration has decided to cancel $0 in student debt.”,Facebook posts," May 28, 2021",barely-true
2102,By Madison Czopek ,Congress created “a generous mortgage relief program” for veterans.,Facebook posts," May 28, 2021",barely-true
2103,By Ciara O'Rourke ,"Says Luc Montagnier said, “There is no hope and no possible treatment for those who have been vaccinated already. We must be prepared to incinerate the bodies.”",Viral image," May 28, 2021",false
2104,By Tom Kertscher ,Says Donald Trump was back on Twitter as of May 2021.,Viral image," May 28, 2021",false
2105,By Louis Jacobson ,"“Now, 50% of all of America, more than any other country, is fully vaccinated.”",Joe Biden," May 28, 2021",barely-true
2106,By Miriam Valverde ,"Police defunding is to blame for “skyrocketing murder rates” in Philadelphia, Minneapolis, Portland, New York City, Chicago, Los Angeles and Washington, D.C.",Facebook posts," May 28, 2021",barely-true
2107,By Ciara O'Rourke ,You can’t donate plasma after getting a COVID-19 vaccine.,Instagram posts," May 28, 2021",false
2108,By Andy Nguyen ,"People with the COVID-19 vaccine are being ""tracked in real time via 5G cellular, and all that data can be hacked into to track you.""",Hal Turner Radio Show," May 28, 2021",pants-fire
2109,By Michael Majchrowicz ,"Says BLM activist Sasha Johnson tweeted, “The white man will not be our equal but our slave.”",Facebook posts," May 28, 2021",pants-fire
2110,By Laura Schulte ,The Biden administration’s American Jobs Plan will be “the biggest non-defense investment in research and development in the history of our country.”,Kamala Harris," May 28, 2021",mostly-true
2111,By Noah Y. Kim ,An image shows the Blue Angels performing a maneuver called the “Hand of God.”,Facebook posts," May 27, 2021",false
2112,By Amy Sherman ,"""21% of 140,000 ballots were found to be in error in GA.”",Facebook posts," May 27, 2021",barely-true
2113,By Ciara O'Rourke ,The CDC in mid-May quietly changed its international travel recommendations to require fully vaccinated people to test negative for COVID-19 before flying to the United States.,Viral image," May 27, 2021",false
2114,By Tom Kertscher ,"Lumber, gas, wheat, coal and corn cost more in April 2021 ""in Joe Biden's America"" than they did a year earlier.",Facebook posts," May 27, 2021",half-true
2115,By Warren Fiske ,“The very first Republican convention after the Civil War was held in Virginia in a Black church.”,Winsome Earle-Sears," May 27, 2021",false
2116,By Jon Greenberg ,"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""",Tim Kaine," May 27, 2021",true
2117,By Amy Sherman ,“Boom! Georgia 1st to decertify election.”,Facebook posts," May 27, 2021",pants-fire
2118,By Tom Kertscher ,Says a photo shows a “lithium mine for hybrid cars.”,Facebook posts," May 26, 2021",false
2119,By Ciara O'Rourke ,“Lego unveils new genderless bricks with no male/female connectors.”,Viral image," May 26, 2021",false
2120,By Miriam Valverde ,“Biden agrees to Pelosi's request to resign.”,Facebook posts," May 26, 2021",pants-fire
2121,By Gabrielle Settles ,“943 innocent kids … are now injured or dead” because of the COVID-19 vaccine.,Instagram posts," May 26, 2021",false
2122,By Ciara O'Rourke ,The mother of a missing boy in Nebraska confessed to killing him.,Viral image," May 26, 2021",false
2123,By Louis Jacobson ,“Gas prices highest in a decade. Worst jobs report in 2 decades. Highest inflation in 3 decades. Highest increase in illegal immigration in 4 decades.”,Facebook posts," May 26, 2021",barely-true
2124,By Sasha Hupka ,“Businesses cannot legally ask for proof of vaccination and cannot deny entry based on vaccination status.”,Instagram posts," May 26, 2021",false
2125,By Ciara O'Rourke ,Getting the COVID-19 vaccine jeopardizes life insurance policies.,Viral image," May 26, 2021",false
2126,By Clara Hendrickson ,A Republican bill in Michigan “would make it a crime for election officials … to share information about how to vote by mail and where to find a ballot drop box.”,Jocelyn Benson," May 26, 2021",half-true
2127,By Ciara O'Rourke ,The CDC lifting mask guidelines “out of the blue with no solid explanation proves they lied to you the whole time about everything.”,Viral image," May 25, 2021",false
2128,By Bill McCarthy ,Arizona ballots were shredded and burned in a chicken farm fire.,Instagram posts," May 25, 2021",pants-fire
2129,By Ciara O'Rourke ,Says Anthony Fauci’s wife has “a secret plan to put psych drugs in drinking water” to get people vaccinated.,Instagram posts," May 25, 2021",pants-fire
2130,By Brandon Mulder ,"“Since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one.""",Lauren Boebert," May 25, 2021",pants-fire
2131,By Ciara O'Rourke ,Video shows “Israel’s defense system.”,Viral image," May 25, 2021",false
2132,By Madeline Heim ,"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",Wisconsin Republican Legislative leaders," May 25, 2021",true
2133,By Bill McCarthy ,A video shows “Dems caught not wearing masks” at the White House.,Instagram posts," May 24, 2021",half-true
2134,By Jon Greenberg ,"“The federal government spent over $500k trying to force fish to exercise on treadmills, an additional $150k to see if gingerbread houses are earthquake proof.”",Josh Mandel," May 24, 2021",barely-true
2135,By Ciara O'Rourke ,An Ohio doctor died from a COVID-19 vaccine.,Facebook posts," May 24, 2021",false
2136,By Ciara O'Rourke ,"Says Chelsea Clinton tweeted, “The more I hear about Bill Gates behavior the more ashamed for him I feel. What kind of man pursues a physical relationship with an underling and has relations with her in their office???”",Viral image," May 24, 2021",pants-fire
2137,By Kiannah Sepeda-Miller ,Opposition to having a fully elected Chicago Board of Education is in the “super minority.”,Robert Martwick," May 23, 2021",true
2138,By Bill McCarthy ,The AstraZeneca COVID-19 vaccine contains a Bluetooth microchip.,TikTok posts," May 21, 2021",false
2139,By Madison Czopek ,An electromagnetic radiation detector can detect radiation from someone’s COVID-19 vaccination.,Facebook posts," May 21, 2021",false
2140,By Ciara O'Rourke ,Businesses aren't allowed to ask customers if they’ve been vaccinated because “there are HIPPA laws.”,Viral image," May 21, 2021",false
2141,By Ciara O'Rourke ,Says Dr. Anthony Fauci’s wife is the NIH official “who rubber stamps exceptions to normal drug and vaccine testing.”,Viral image," May 21, 2021",false
2142,By Tom Kertscher ,“COVID cases in India plummet after government promotes ivermectin and hydroxychloroquine use.”,The Gateway Pundit," May 21, 2021",barely-true
2143,By Brandon Mulder ,“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,Greg Abbott," May 21, 2021",true
2144,By Andy Nguyen ,"The Moderna vaccine contains an ingredient that is “for research use only, not meant for human or veterinary use.”",Instagram posts," May 21, 2021",false
2145,By Haley BeMiller ,"""Since 2010, student debt has increased by 102% and real wages have fallen by over 8%.”",Tom Nelson," May 21, 2021",half-true
2146,By Gabrielle Settles ,Photos show Joe Biden didn’t drive himself during an electric vehicle test drive.,Facebook posts," May 20, 2021",pants-fire
2147,By Ciara O'Rourke ,“Black Lives Matter says it stands with Hamas terrorists in Israeli conflict.”,Viral image," May 20, 2021",false
2148,By Bill McCarthy ,"The Biden White House has ""no one there. They don't travel. They don't go down to the border. They don't go overseas.""",Eric Trump," May 20, 2021",pants-fire
2149,By Ciara O'Rourke ,Photo shows a “Palestinian boy cleaning his own family’s blood.”,Viral image," May 20, 2021",false
2150,By Ciara O'Rourke ,“The minions from ‘Despicable Me’ are based off of these Jewish children tortured by Nazis during the Holocaust.”,Viral image," May 20, 2021",pants-fire
2151,By Monique Curet ,“CDC director finally admits that COVID cases were overcounted in hospitals”,The Gateway Pundit," May 20, 2021",false
2152,By Michael Majchrowicz ,Says the CDC’s new tracking policy is covering up cases of “breakthrough” COVID-19 infections among vaccinated people.,Facebook posts," May 20, 2021",false
2153,By Steven Rascón ,"Wearing face masks may cause ""pulmonary fibrosis"" and other health risks in children.",Facebook posts," May 19, 2021",pants-fire
2154,By Warren Fiske ,On the legitimacy of President Joe Biden's election.,Glenn Youngkin," May 19, 2021",half-flip
2155,By Ciara O'Rourke ,“Biden is computer generated.”,Facebook posts," May 19, 2021",pants-fire
2156,By Ciara O'Rourke ,Poll shows that men are more likely to do chores than women in U.S. households.,Viral image," May 19, 2021",false
2157,By Ciara O'Rourke ,“Pope Francis kissing the hands of David Rockefeller & John Rothschild.”,Viral image," May 19, 2021",false
2158,By Ciara O'Rourke ,Photos show a photojournalist crying while capturing pictures of the Aqsa Mosque in Jerusalem.,Viral image," May 19, 2021",false
2159,By Tom Kertscher ,"""The entire Database of Maricopa County in Arizona has been DELETED!""",Donald Trump," May 19, 2021",false
2160,By Louis Jacobson ,"""There is no law that deals specifically with the term ‘partial-birth abortion.’”",Xavier Becerra," May 19, 2021",false
2161,By Samantha Putterman ,Says Don Lemon’s show has been canceled and he is leaving CNN.,YouTube videos," May 19, 2021",false
2162,By Ciara O'Rourke ,University of Miami researchers have found that the COVID-19 vaccine affects sperm production.,Viral image," May 19, 2021",false
2163,By Samantha Putterman ,“Video shows U.S. Capitol Police gave protesters OK to enter.”,Facebook posts," May 18, 2021",pants-fire
2164,By Ciara O'Rourke ,Photo shows an anti-Israel activist holding a photo of Adolf Hitler.,Viral image," May 18, 2021",false
2165,By Ciara O'Rourke ,Photo shows Kamala Harris pretending to board an official plane.,Viral image," May 18, 2021",pants-fire
2166,By Bill McCarthy ,"""COVID-19 Jab: They skipped all animal trials because all animals were dying and went directly to people.""",Instagram posts," May 18, 2021",false
2167,By Ciara O'Rourke ,Video shows Palestinians faking a funeral procession for a child.,Viral image," May 18, 2021",false
2168,By Ciara O'Rourke ,Photo shows Joe Biden groping Jen Psaki.,Viral image," May 18, 2021",pants-fire
2169,By Cassidey Kavathas ,"“New York's 1,200+ homeless veterans are ineligible for these $15,600 payments.”",Tom Cotton," May 18, 2021",barely-true
2170,By Tom Kertscher ,"“About 40% to 50% of CDC, FDA employees are refusing the COVID-19 vaccine, according to” Anthony Fauci and FDA’s Peter Marks.",Facebook posts," May 18, 2021",false
2171,By Haley BeMiller ,“Republicans on the Joint Finance Committee removed more than $8 billion in spending increases from Gov. Evers' budget proposal.”,Wisconsin Assembly GOP," May 18, 2021",mostly-true
2172,By Ciara O'Rourke ,Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.,Viral image," May 17, 2021",false
2173,By Andy Nguyen ,"""When you can't find gas, remember who executively ordered the Keystone Pipeline to close.""",Facebook posts," May 17, 2021",false
2174,By Tom Kertscher ,Says photos show a “boneyard” of electric cars abandoned in France because the cars’ batteries were too expensive to replace.,Facebook posts," May 17, 2021",false
2175,By Madison Czopek ,Transmission of COVID-19 by asymptomatic individuals “has never been proven.”,Instagram posts," May 17, 2021",false
2176,By Ciara O'Rourke ,Magnet video proves COVID-19 vaccines contain microchips.,Viral image," May 17, 2021",false
2177,By Miriam Valverde ,"""I don't think anybody is questioning the legitimacy of the presidential election.""",Kevin McCarthy," May 14, 2021",pants-fire
2178,By Paul Specht ,"Says “75% of third-graders in this year’s class are not reading at a third grade level” and, for those who don’t catch up, there’s “an 80% chance that you will not graduate.”",Pat McCrory," May 14, 2021",half-true
2179,By Ciara O'Rourke ,Says Benjamin Netanyahu gave a speech to Hamas leaders thanking them for uniting Israel.,Facebook posts," May 14, 2021",false
2180,By Louis Jacobson ,“The research showed … that confidence overall in the vaccines increased after the pause” to review the safety of Johnson & Johnson’s coronavirus vaccine.,Jeffrey Zients," May 14, 2021",half-true
2181,By Brandon Mulder ,The voting rights bill “would register millions of illegal aliens to vote. It is intended to do that.”,Ted Cruz," May 14, 2021",pants-fire
2182,By D.L. Davis ,On supporting Liz Cheney for House Republican leadership position,Mike Gallagher," May 14, 2021",full-flop
2183,By Sasha Hupka ,"“After California taxes, Trey Lance's $34.1M rookie deal becomes just $16M.""",Instagram posts," May 13, 2021",half-true
2184,By Ciara O'Rourke ,Video shows woman filling plastic bags with gas after Colonial Pipeline disruption.,Viral image," May 13, 2021",false
2185,By Amy Sherman ,"“Watching the TV footage of those who entered the Capitol. … If you didn't know the TV footage was from Jan. 6, you would actually think it was a normal tourist visit.”",Andrew Clyde," May 13, 2021",pants-fire
2186,By Ciara O'Rourke ,Photos show gas costs nearly $10 in the Carolinas.,Viral image," May 13, 2021",false
2187,By Ciara O'Rourke ,Exxon sign says drivers “must show proof of a job for gas purchase.”,Viral image," May 13, 2021",false
2188,By Ciara O'Rourke ,Photo shows “plastic bags filled with gas” in someone’s car trunk in South Carolina.,Viral image," May 13, 2021",false
2189,By Lyle Muller ,"“There are more job openings than there are people on unemployment"" in Iowa.",Lindsay James," May 12, 2021",true
2190,By Ciara O'Rourke ,“U.S. Census Bureau confirms huge conflict in total number of voters in 2020 election.”,Facebook posts," May 12, 2021",false
2191,By Ciara O'Rourke ,"“Due to the Colonial Pipeline issue causing a fuel shortage on the east coast, NASCAR has decided to postpone this weekend’s Dover race.”",Viral image," May 12, 2021",false
2192,By Noah Y. Kim ,“Montana is canceling unemployment because of a workforce shortage.”,Facebook posts," May 12, 2021",half-true
2193,By Ciara O'Rourke ,“Amazon accepts Dogecoin.”,Viral image," May 12, 2021",false
2194,By Warren Fiske ,“Every single Petersburg (Va.) school was accredited when I left office.”,Terry McAuliffe," May 12, 2021",barely-true
2195,By D.L. Davis ,“Regulating and taxing marijuana—much like we do alcohol—would generate more than $165M in revenue starting in 2022”,Tony Evers," May 12, 2021",mostly-true
2196,By Victoria Knight ,"For vaccine rates among Americans 65 and older, “there’s virtually no difference between white, Black, Hispanic, Asian American.”",Joe Biden," May 11, 2021",false
